,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
23,10,18.0,15,0.0022180001251399517,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",arithmetic,0.25,0.0001,0.001,0.24999977819998748,0.25,500,
24,0,13.0,0,3.345916047692299e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",geometric,0.5,0.99,0.001,0.4999998318621282,0.5,500,
25,10,17.0,16,0.002259625121951103,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",geometric,0.5,0.99,0.001,0.49998864513324565,0.5,500,
26,0,13.0,0,3.208313137292862e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",exponential,0.5,,0.001,0.499999919792178,0.5,500,0.005
27,10,17.0,16,0.002399750053882599,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",exponential,0.5,,0.001,0.49999400066085764,0.5,500,0.005
28,0,13.0,0,3.2333191484212875e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",arithmetic,0.5,0.0001,0.001,0.49999999676668083,0.5,500,
29,10,17.0,16,0.0024512079544365406,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",arithmetic,0.5,0.0001,0.001,0.49999975487920456,0.5,500,
30,0,13.0,0,3.2499898225069046e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",geometric,0.75,0.99,0.001,0.7499997550238707,0.75,500,
31,10,16.0,17,0.0024927500635385513,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",geometric,0.75,0.99,0.001,0.7499812105038643,0.75,500,
32,0,13.0,0,3.9416830986738205e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",exponential,0.75,,0.001,0.7499998521868984,0.75,500,0.005
33,10,16.0,17,0.002588958013802767,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",exponential,0.75,,0.001,0.7499902914702858,0.75,500,0.005
34,0,13.0,0,3.2916199415922165e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",arithmetic,0.75,0.0001,0.001,0.74999999670838,0.75,500,
35,10,16.0,17,0.0025894581340253353,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",arithmetic,0.75,0.0001,0.001,0.7499997410541867,0.75,500,
36,0,13.0,0,3.275042399764061e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",geometric,1.0,0.99,0.001,0.9999996708472937,1,500,
37,10,15.0,18,0.0026215421967208385,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1]",geometric,1.0,0.99,0.001,0.999973652967558,1,500,
38,0,13.0,0,3.224983811378479e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",exponential,1.0,,0.001,0.9999998387508224,1,500,0.005
39,10,15.0,18,0.002670625224709511,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1]",exponential,1.0,,0.001,0.9999866469630291,1,500,0.005
40,0,13.0,0,3.254087641835213e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",arithmetic,1.0,0.0001,0.001,0.9999999967459123,1,500,
41,10,15.0,18,0.0026809158734977245,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1]",arithmetic,1.0,0.0001,0.001,0.9999997319084126,1,500,
