,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
67,1,0.0023960419930517673,4.0,41.0,20,0.2,1510
68,2,0.0026817922480404377,4.0,62.0,20,0.2,1510
69,3,0.002949708141386509,4.0,83.0,20,0.2,1510
70,4,0.003214083146303892,4.0,104.0,20,0.2,1510
71,5,0.0034762080758810043,4.0,125.0,20,0.2,1510
72,6,0.003733375109732151,4.0,146.0,20,0.2,1510
73,7,0.004010792355984449,4.0,167.0,20,0.2,1510
74,8,0.004282375331968069,5.0,189.0,20,0.2,1510
75,9,0.00453941710293293,5.0,210.0,20,0.2,1510
76,10,0.0048001669347286224,5.0,231.0,20,0.2,1510
77,0,0.00017412519082427025,4.0,20.0,20,0.5,1510
78,1,0.0023960419930517673,4.0,41.0,20,0.5,1510
79,2,0.0026817922480404377,4.0,62.0,20,0.5,1510
80,3,0.002949708141386509,4.0,83.0,20,0.5,1510
81,4,0.003214083146303892,7.0,105.0,20,0.5,1510
82,5,0.0034762080758810043,7.0,126.0,20,0.5,1510
83,6,0.003733375109732151,7.0,147.0,20,0.5,1510
84,7,0.004010792355984449,7.0,168.0,20,0.5,1510
85,8,0.004282375331968069,7.0,189.0,20,0.5,1510
86,9,0.00453941710293293,7.0,210.0,20,0.5,1510
87,10,0.0048001669347286224,7.0,231.0,20,0.5,1510
88,0,0.00017412519082427025,4.0,20.0,20,0.75,1510
89,1,0.0023960419930517673,7.0,42.0,20,0.75,1510
90,2,0.0026817922480404377,7.0,63.0,20,0.75,1510
91,3,0.002949708141386509,12.0,85.0,20,0.75,1510
92,4,0.003214083146303892,12.0,106.0,20,0.75,1510
93,5,0.0034762080758810043,13.0,128.0,20,0.75,1510
94,6,0.003733375109732151,13.0,149.0,20,0.75,1510
95,7,0.004010792355984449,13.0,170.0,20,0.75,1510
96,8,0.004282375331968069,13.0,191.0,20,0.75,1510
97,9,0.00453941710293293,13.0,212.0,20,0.75,1510
98,10,0.0048001669347286224,13.0,233.0,20,0.75,1510
99,0,0.00017412519082427025,4.0,20.0,20,1.0,1510
100,1,0.0023960419930517673,7.0,42.0,20,1.0,1510
101,2,0.0026817922480404377,7.0,63.0,20,1.0,1510
102,3,0.002949708141386509,7.0,84.0,20,1.0,1510
103,4,0.003214083146303892,9.0,106.0,20,1.0,1510
104,5,0.0034762080758810043,9.0,127.0,20,1.0,1510
105,6,0.003733375109732151,9.0,148.0,20,1.0,1510
106,7,0.004010792355984449,13.0,170.0,20,1.0,1510
107,8,0.004282375331968069,13.0,191.0,20,1.0,1510
108,9,0.00453941710293293,13.0,212.0,20,1.0,1510
109,10,0.0048001669347286224,16.0,234.0,20,1.0,1510
110,0,0.00017412519082427025,4.0,50.0,50,0.1,1510
111,1,0.0023960419930517673,9.0,102.0,50,0.1,1510
112,2,0.0026817922480404377,9.0,153.0,50,0.1,1510
113,3,0.002949708141386509,13.0,205.0,50,0.1,1510
114,4,0.003214083146303892,13.0,256.0,50,0.1,1510
115,5,0.0034762080758810043,48.0,308.0,50,0.1,1510
116,6,0.003733375109732151,48.0,359.0,50,0.1,1510
117,7,0.004010792355984449,48.0,410.0,50,0.1,1510
118,8,0.004282375331968069,51.0,462.0,50,0.1,1510
119,9,0.00453941710293293,53.0,514.0,50,0.1,1510
120,10,0.0048001669347286224,53.0,565.0,50,0.1,1510
121,0,0.00017412519082427025,4.0,50.0,50,0.2,1510
122,1,0.0023960419930517673,10.0,102.0,50,0.2,1510
123,2,0.0026817922480404377,10.0,153.0,50,0.2,1510
124,3,0.002949708141386509,11.0,205.0,50,0.2,1510
125,4,0.003214083146303892,11.0,256.0,50,0.2,1510
126,5,0.0034762080758810043,11.0,307.0,50,0.2,1510
127,6,0.003733375109732151,11.0,358.0,50,0.2,1510
128,7,0.004010792355984449,14.0,410.0,50,0.2,1510
129,8,0.004282375331968069,14.0,461.0,50,0.2,1510
130,9,0.00453941710293293,14.0,512.0,50,0.2,1510
131,10,0.0048001669347286224,14.0,563.0,50,0.2,1510
132,0,0.00017412519082427025,4.0,50.0,50,0.5,1510
133,1,0.0023960419930517673,9.0,102.0,50,0.5,1510
134,2,0.0026817922480404377,50.0,154.0,50,0.5,1510
135,3,0.002949708141386509,50.0,205.0,50,0.5,1510
136,4,0.003214083146303892,50.0,256.0,50,0.5,1510
137,5,0.0034762080758810043,56.0,308.0,50,0.5,1510
138,6,0.003733375109732151,56.0,359.0,50,0.5,1510
139,7,0.004010792355984449,56.0,410.0,50,0.5,1510
140,8,0.004282375331968069,56.0,461.0,50,0.5,1510
141,9,0.00453941710293293,56.0,512.0,50,0.5,1510
142,10,0.0048001669347286224,56.0,563.0,50,0.5,1510
143,0,0.00017412519082427025,4.0,50.0,50,0.75,1510
144,1,0.0023960419930517673,8.0,102.0,50,0.75,1510
145,2,0.0026817922480404377,8.0,153.0,50,0.75,1510
146,3,0.002949708141386509,45.0,205.0,50,0.75,1510
147,4,0.003214083146303892,45.0,256.0,50,0.75,1510
148,5,0.0034762080758810043,45.0,307.0,50,0.75,1510
149,6,0.003733375109732151,49.0,359.0,50,0.75,1510
150,7,0.004010792355984449,49.0,410.0,50,0.75,1510
151,8,0.004282375331968069,49.0,461.0,50,0.75,1510
152,9,0.00453941710293293,49.0,512.0,50,0.75,1510
153,10,0.0048001669347286224,49.0,563.0,50,0.75,1510
154,0,0.00017412519082427025,4.0,50.0,50,1.0,1510
155,1,0.0023960419930517673,10.0,102.0,50,1.0,1510
156,2,0.0026817922480404377,10.0,153.0,50,1.0,1510
157,3,0.002949708141386509,13.0,205.0,50,1.0,1510
158,4,0.003214083146303892,15.0,257.0,50,1.0,1510
159,5,0.0034762080758810043,16.0,309.0,50,1.0,1510
160,6,0.003733375109732151,16.0,360.0,50,1.0,1510
161,7,0.004010792355984449,16.0,411.0,50,1.0,1510
162,8,0.004282375331968069,16.0,462.0,50,1.0,1510
163,9,0.00453941710293293,20.0,514.0,50,1.0,1510
164,10,0.0048001669347286224,20.0,565.0,50,1.0,1510
165,0,0.00017412519082427025,4.0,100.0,100,0.1,1510
166,1,0.0023960419930517673,8.0,202.0,100,0.1,1510
167,2,0.0026817922480404377,47.0,304.0,100,0.1,1510
168,3,0.002949708141386509,48.0,406.0,100,0.1,1510
169,4,0.003214083146303892,51.0,508.0,100,0.1,1510
170,5,0.0034762080758810043,51.0,609.0,100,0.1,1510
171,6,0.003733375109732151,51.0,710.0,100,0.1,1510
172,7,0.004010792355984449,51.0,811.0,100,0.1,1510
173,8,0.004282375331968069,52.0,913.0,100,0.1,1510
174,9,0.00453941710293293,53.0,1015.0,100,0.1,1510
175,10,0.0048001669347286224,53.0,1116.0,100,0.1,1510
176,0,0.00017412519082427025,4.0,100.0,100,0.2,1510
177,1,0.0023960419930517673,8.0,202.0,100,0.2,1510
178,2,0.0026817922480404377,9.0,304.0,100,0.2,1510
179,3,0.002949708141386509,46.0,406.0,100,0.2,1510
180,4,0.003214083146303892,49.0,508.0,100,0.2,1510
181,5,0.0034762080758810043,50.0,610.0,100,0.2,1510
182,6,0.003733375109732151,52.0,712.0,100,0.2,1510
183,7,0.004010792355984449,53.0,814.0,100,0.2,1510
184,8,0.004282375331968069,53.0,915.0,100,0.2,1510
185,9,0.00453941710293293,53.0,1016.0,100,0.2,1510
186,10,0.0048001669347286224,53.0,1117.0,100,0.2,1510
187,0,0.00017412519082427025,4.0,100.0,100,0.5,1510
188,1,0.0023960419930517673,8.0,202.0,100,0.5,1510
189,2,0.0026817922480404377,10.0,304.0,100,0.5,1510
190,3,0.002949708141386509,10.0,405.0,100,0.5,1510
191,4,0.003214083146303892,15.0,507.0,100,0.5,1510
192,5,0.0034762080758810043,48.0,609.0,100,0.5,1510
193,6,0.003733375109732151,49.0,711.0,100,0.5,1510
194,7,0.004010792355984449,51.0,813.0,100,0.5,1510
195,8,0.004282375331968069,53.0,915.0,100,0.5,1510
196,9,0.00453941710293293,53.0,1016.0,100,0.5,1510
197,10,0.0048001669347286224,53.0,1117.0,100,0.5,1510
198,0,0.00017412519082427025,4.0,100.0,100,0.75,1510
199,1,0.0023960419930517673,48.0,202.0,100,0.75,1510
200,2,0.0026817922480404377,48.0,303.0,100,0.75,1510
201,3,0.002949708141386509,51.0,405.0,100,0.75,1510
202,4,0.003214083146303892,51.0,506.0,100,0.75,1510
203,5,0.0034762080758810043,51.0,607.0,100,0.75,1510
204,6,0.003733375109732151,51.0,708.0,100,0.75,1510
205,7,0.004010792355984449,51.0,809.0,100,0.75,1510
206,8,0.004282375331968069,51.0,910.0,100,0.75,1510
207,9,0.00453941710293293,51.0,1011.0,100,0.75,1510
208,10,0.0048001669347286224,51.0,1112.0,100,0.75,1510
209,0,0.00017412519082427025,4.0,100.0,100,1.0,1510
210,1,0.0023960419930517673,8.0,202.0,100,1.0,1510
211,2,0.0026817922480404377,9.0,304.0,100,1.0,1510
212,3,0.002949708141386509,9.0,405.0,100,1.0,1510
213,4,0.003214083146303892,10.0,507.0,100,1.0,1510
214,5,0.0034762080758810043,12.0,609.0,100,1.0,1510
215,6,0.003733375109732151,51.0,711.0,100,1.0,1510
216,7,0.004010792355984449,51.0,812.0,100,1.0,1510
217,8,0.004282375331968069,51.0,913.0,100,1.0,1510
218,9,0.00453941710293293,52.0,1015.0,100,1.0,1510
219,10,0.0048001669347286224,53.0,1117.0,100,1.0,1510
220,0,0.00017412519082427025,4.0,150.0,150,0.1,1510
221,1,0.0023960419930517673,13.0,302.0,150,0.1,1510
222,2,0.0026817922480404377,13.0,453.0,150,0.1,1510
223,3,0.002949708141386509,13.0,604.0,150,0.1,1510
224,4,0.003214083146303892,48.0,756.0,150,0.1,1510
225,5,0.0034762080758810043,48.0,907.0,150,0.1,1510
226,6,0.003733375109732151,53.0,1059.0,150,0.1,1510
227,7,0.004010792355984449,54.0,1211.0,150,0.1,1510
228,8,0.004282375331968069,54.0,1362.0,150,0.1,1510
229,9,0.00453941710293293,55.0,1514.0,150,0.1,1510
230,10,0.0048001669347286224,57.0,1666.0,150,0.1,1510
231,0,0.00017412519082427025,4.0,150.0,150,0.2,1510
232,1,0.0023960419930517673,9.0,302.0,150,0.2,1510
233,2,0.0026817922480404377,45.0,454.0,150,0.2,1510
234,3,0.002949708141386509,46.0,606.0,150,0.2,1510
235,4,0.003214083146303892,49.0,758.0,150,0.2,1510
236,5,0.0034762080758810043,50.0,910.0,150,0.2,1510
237,6,0.003733375109732151,51.0,1062.0,150,0.2,1510
238,7,0.004010792355984449,51.0,1213.0,150,0.2,1510
239,8,0.004282375331968069,51.0,1364.0,150,0.2,1510
240,9,0.00453941710293293,54.0,1516.0,150,0.2,1510
241,10,0.0048001669347286224,54.0,1667.0,150,0.2,1510
242,0,0.00017412519082427025,4.0,150.0,150,0.5,1510
243,1,0.0023960419930517673,48.0,302.0,150,0.5,1510
244,2,0.0026817922480404377,49.0,454.0,150,0.5,1510
245,3,0.002949708141386509,49.0,605.0,150,0.5,1510
246,4,0.003214083146303892,49.0,756.0,150,0.5,1510
247,5,0.0034762080758810043,49.0,907.0,150,0.5,1510
248,6,0.003733375109732151,49.0,1058.0,150,0.5,1510
249,7,0.004010792355984449,52.0,1210.0,150,0.5,1510
250,8,0.004282375331968069,52.0,1361.0,150,0.5,1510
251,9,0.00453941710293293,52.0,1512.0,150,0.5,1510
252,10,0.0048001669347286224,53.0,1664.0,150,0.5,1510
253,0,0.00017412519082427025,4.0,150.0,150,0.75,1510
254,1,0.0023960419930517673,9.0,302.0,150,0.75,1510
255,2,0.0026817922480404377,9.0,453.0,150,0.75,1510
256,3,0.002949708141386509,45.0,605.0,150,0.75,1510
257,4,0.003214083146303892,49.0,757.0,150,0.75,1510
258,5,0.0034762080758810043,49.0,908.0,150,0.75,1510
259,6,0.003733375109732151,51.0,1060.0,150,0.75,1510
260,7,0.004010792355984449,51.0,1211.0,150,0.75,1510
261,8,0.004282375331968069,52.0,1363.0,150,0.75,1510
262,9,0.00453941710293293,52.0,1514.0,150,0.75,1510
263,10,0.0048001669347286224,53.0,1666.0,150,0.75,1510
264,0,0.00017412519082427025,4.0,150.0,150,1.0,1510
265,1,0.0023960419930517673,11.0,302.0,150,1.0,1510
266,2,0.0026817922480404377,46.0,454.0,150,1.0,1510
267,3,0.002949708141386509,49.0,606.0,150,1.0,1510
268,4,0.003214083146303892,50.0,758.0,150,1.0,1510
269,5,0.0034762080758810043,52.0,910.0,150,1.0,1510
270,6,0.003733375109732151,53.0,1062.0,150,1.0,1510
271,7,0.004010792355984449,53.0,1213.0,150,1.0,1510
272,8,0.004282375331968069,53.0,1364.0,150,1.0,1510
273,9,0.00453941710293293,57.0,1516.0,150,1.0,1510
274,10,0.0048001669347286224,57.0,1667.0,150,1.0,1510
275,0,0.00017412519082427025,4.0,200.0,200,0.1,1510
276,1,0.0023960419930517673,46.0,402.0,200,0.1,1510
277,2,0.0026817922480404377,49.0,604.0,200,0.1,1510
278,3,0.002949708141386509,49.0,805.0,200,0.1,1510
279,4,0.003214083146303892,50.0,1007.0,200,0.1,1510
280,5,0.0034762080758810043,50.0,1208.0,200,0.1,1510
281,6,0.003733375109732151,50.0,1409.0,200,0.1,1510
282,7,0.004010792355984449,50.0,1610.0,200,0.1,1510
283,8,0.004282375331968069,53.0,1812.0,200,0.1,1510
284,9,0.00453941710293293,53.0,2013.0,200,0.1,1510
285,10,0.0048001669347286224,53.0,2214.0,200,0.1,1510
286,0,0.00017412519082427025,4.0,200.0,200,0.2,1510
287,1,0.0023960419930517673,9.0,402.0,200,0.2,1510
288,2,0.0026817922480404377,49.0,604.0,200,0.2,1510
289,3,0.002949708141386509,51.0,806.0,200,0.2,1510
290,4,0.003214083146303892,53.0,1008.0,200,0.2,1510
291,5,0.0034762080758810043,53.0,1209.0,200,0.2,1510
292,6,0.003733375109732151,55.0,1411.0,200,0.2,1510
293,7,0.004010792355984449,55.0,1612.0,200,0.2,1510
294,8,0.004282375331968069,56.0,1814.0,200,0.2,1510
295,9,0.00453941710293293,59.0,2016.0,200,0.2,1510
296,10,0.0048001669347286224,59.0,2217.0,200,0.2,1510
297,0,0.00017412519082427025,4.0,200.0,200,0.5,1510
298,1,0.0023960419930517673,11.0,402.0,200,0.5,1510
299,2,0.0026817922480404377,45.0,604.0,200,0.5,1510
300,3,0.002949708141386509,46.0,806.0,200,0.5,1510
301,4,0.003214083146303892,52.0,1008.0,200,0.5,1510
302,5,0.0034762080758810043,53.0,1210.0,200,0.5,1510
303,6,0.003733375109732151,54.0,1412.0,200,0.5,1510
304,7,0.004010792355984449,54.0,1613.0,200,0.5,1510
305,8,0.004282375331968069,54.0,1814.0,200,0.5,1510
306,9,0.00453941710293293,54.0,2015.0,200,0.5,1510
307,10,0.0048001669347286224,56.0,2217.0,200,0.5,1510
308,0,0.00017412519082427025,4.0,200.0,200,0.75,1510
309,1,0.0023960419930517673,9.0,402.0,200,0.75,1510
310,2,0.0026817922480404377,13.0,604.0,200,0.75,1510
311,3,0.002949708141386509,49.0,806.0,200,0.75,1510
312,4,0.003214083146303892,49.0,1007.0,200,0.75,1510
313,5,0.0034762080758810043,51.0,1209.0,200,0.75,1510
314,6,0.003733375109732151,51.0,1410.0,200,0.75,1510
315,7,0.004010792355984449,59.0,1612.0,200,0.75,1510
316,8,0.004282375331968069,59.0,1813.0,200,0.75,1510
317,9,0.00453941710293293,59.0,2014.0,200,0.75,1510
318,10,0.0048001669347286224,59.0,2215.0,200,0.75,1510
319,0,0.00017412519082427025,4.0,200.0,200,1.0,1510
320,1,0.0023960419930517673,46.0,402.0,200,1.0,1510
321,2,0.0026817922480404377,46.0,603.0,200,1.0,1510
322,3,0.002949708141386509,48.0,805.0,200,1.0,1510
323,4,0.003214083146303892,49.0,1007.0,200,1.0,1510
324,5,0.0034762080758810043,52.0,1209.0,200,1.0,1510
325,6,0.003733375109732151,52.0,1410.0,200,1.0,1510
326,7,0.004010792355984449,52.0,1611.0,200,1.0,1510
327,8,0.004282375331968069,52.0,1812.0,200,1.0,1510
328,9,0.00453941710293293,52.0,2013.0,200,1.0,1510
329,10,0.0048001669347286224,52.0,2214.0,200,1.0,1510
330,0,0.00017412519082427025,4.0,250.0,250,0.1,1510
331,1,0.0023960419930517673,49.0,502.0,250,0.1,1510
332,2,0.0026817922480404377,49.0,753.0,250,0.1,1510
333,3,0.002949708141386509,50.0,1005.0,250,0.1,1510
334,4,0.003214083146303892,56.0,1257.0,250,0.1,1510
335,5,0.0034762080758810043,56.0,1508.0,250,0.1,1510
336,6,0.003733375109732151,56.0,1759.0,250,0.1,1510
337,7,0.004010792355984449,56.0,2010.0,250,0.1,1510
338,8,0.004282375331968069,56.0,2261.0,250,0.1,1510
339,9,0.00453941710293293,56.0,2512.0,250,0.1,1510
340,10,0.0048001669347286224,56.0,2763.0,250,0.1,1510
341,0,0.00017412519082427025,4.0,250.0,250,0.2,1510
342,1,0.0023960419930517673,49.0,502.0,250,0.2,1510
343,2,0.0026817922480404377,50.0,754.0,250,0.2,1510
344,3,0.002949708141386509,50.0,1005.0,250,0.2,1510
345,4,0.003214083146303892,51.0,1257.0,250,0.2,1510
346,5,0.0034762080758810043,54.0,1509.0,250,0.2,1510
347,6,0.003733375109732151,57.0,1761.0,250,0.2,1510
348,7,0.004010792355984449,57.0,2012.0,250,0.2,1510
349,8,0.004282375331968069,59.0,2264.0,250,0.2,1510
350,9,0.00453941710293293,59.0,2515.0,250,0.2,1510
351,10,0.0048001669347286224,59.0,2766.0,250,0.2,1510
352,0,0.00017412519082427025,4.0,250.0,250,0.5,1510
353,1,0.0023960419930517673,50.0,502.0,250,0.5,1510
354,2,0.0026817922480404377,50.0,753.0,250,0.5,1510
355,3,0.002949708141386509,52.0,1005.0,250,0.5,1510
356,4,0.003214083146303892,56.0,1257.0,250,0.5,1510
357,5,0.0034762080758810043,56.0,1508.0,250,0.5,1510
358,6,0.003733375109732151,56.0,1759.0,250,0.5,1510
359,7,0.004010792355984449,57.0,2011.0,250,0.5,1510
360,8,0.004282375331968069,58.0,2263.0,250,0.5,1510
361,9,0.00453941710293293,58.0,2514.0,250,0.5,1510
362,10,0.0048001669347286224,58.0,2765.0,250,0.5,1510
363,0,0.00017412519082427025,4.0,250.0,250,0.75,1510
364,1,0.0023960419930517673,48.0,502.0,250,0.75,1510
365,2,0.0026817922480404377,50.0,754.0,250,0.75,1510
366,3,0.002949708141386509,51.0,1006.0,250,0.75,1510
367,4,0.003214083146303892,51.0,1257.0,250,0.75,1510
368,5,0.0034762080758810043,51.0,1508.0,250,0.75,1510
369,6,0.003733375109732151,51.0,1759.0,250,0.75,1510
370,7,0.004010792355984449,55.0,2011.0,250,0.75,1510
371,8,0.004282375331968069,55.0,2262.0,250,0.75,1510
372,9,0.00453941710293293,55.0,2513.0,250,0.75,1510
373,10,0.0048001669347286224,57.0,2765.0,250,0.75,1510
374,0,0.00017412519082427025,4.0,250.0,250,1.0,1510
375,1,0.0023960419930517673,47.0,502.0,250,1.0,1510
376,2,0.0026817922480404377,50.0,754.0,250,1.0,1510
377,3,0.002949708141386509,51.0,1006.0,250,1.0,1510
378,4,0.003214083146303892,51.0,1257.0,250,1.0,1510
379,5,0.0034762080758810043,55.0,1509.0,250,1.0,1510
380,6,0.003733375109732151,57.0,1761.0,250,1.0,1510
381,7,0.004010792355984449,57.0,2012.0,250,1.0,1510
382,8,0.004282375331968069,57.0,2263.0,250,1.0,1510
383,9,0.00453941710293293,57.0,2514.0,250,1.0,1510
384,10,0.0048001669347286224,57.0,2765.0,250,1.0,1510
385,0,0.00017412519082427025,4.0,500.0,500,0.1,1510
386,1,0.0023960419930517673,47.0,1002.0,500,0.1,1510
387,2,0.0026817922480404377,51.0,1504.0,500,0.1,1510
388,3,0.002949708141386509,51.0,2005.0,500,0.1,1510
389,4,0.003214083146303892,54.0,2507.0,500,0.1,1510
390,5,0.0034762080758810043,56.0,3009.0,500,0.1,1510
391,6,0.003733375109732151,56.0,3510.0,500,0.1,1510
392,7,0.004010792355984449,56.0,4011.0,500,0.1,1510
393,8,0.004282375331968069,57.0,4513.0,500,0.1,1510
394,9,0.00453941710293293,57.0,5014.0,500,0.1,1510
395,10,0.0048001669347286224,59.0,5516.0,500,0.1,1510
396,0,0.00017412519082427025,4.0,500.0,500,0.2,1510
397,1,0.0023960419930517673,51.0,1002.0,500,0.2,1510
398,2,0.0026817922480404377,51.0,1503.0,500,0.2,1510
399,3,0.002949708141386509,51.0,2004.0,500,0.2,1510
400,4,0.003214083146303892,53.0,2506.0,500,0.2,1510
401,5,0.0034762080758810043,54.0,3008.0,500,0.2,1510
402,6,0.003733375109732151,56.0,3510.0,500,0.2,1510
403,7,0.004010792355984449,56.0,4011.0,500,0.2,1510
404,8,0.004282375331968069,56.0,4512.0,500,0.2,1510
405,9,0.00453941710293293,58.0,5014.0,500,0.2,1510
406,10,0.0048001669347286224,60.0,5516.0,500,0.2,1510
407,0,0.00017412519082427025,4.0,500.0,500,0.5,1510
408,1,0.0023960419930517673,48.0,1002.0,500,0.5,1510
409,2,0.0026817922480404377,49.0,1504.0,500,0.5,1510
410,3,0.002949708141386509,53.0,2006.0,500,0.5,1510
411,4,0.003214083146303892,54.0,2508.0,500,0.5,1510
412,5,0.0034762080758810043,54.0,3009.0,500,0.5,1510
413,6,0.003733375109732151,57.0,3511.0,500,0.5,1510
414,7,0.004010792355984449,57.0,4012.0,500,0.5,1510
415,8,0.004282375331968069,57.0,4513.0,500,0.5,1510
416,9,0.00453941710293293,61.0,5015.0,500,0.5,1510
417,10,0.0048001669347286224,63.0,5517.0,500,0.5,1510
418,0,0.00017412519082427025,4.0,500.0,500,0.75,1510
419,1,0.0023960419930517673,48.0,1002.0,500,0.75,1510
420,2,0.0026817922480404377,49.0,1504.0,500,0.75,1510
421,3,0.002949708141386509,50.0,2006.0,500,0.75,1510
422,4,0.003214083146303892,57.0,2508.0,500,0.75,1510
423,5,0.0034762080758810043,57.0,3009.0,500,0.75,1510
424,6,0.003733375109732151,57.0,3510.0,500,0.75,1510
425,7,0.004010792355984449,57.0,4011.0,500,0.75,1510
426,8,0.004282375331968069,57.0,4512.0,500,0.75,1510
427,9,0.00453941710293293,57.0,5013.0,500,0.75,1510
428,10,0.0048001669347286224,57.0,5514.0,500,0.75,1510
429,0,0.00017412519082427025,4.0,500.0,500,1.0,1510
430,1,0.0023960419930517673,47.0,1002.0,500,1.0,1510
431,2,0.0026817922480404377,51.0,1504.0,500,1.0,1510
432,3,0.002949708141386509,51.0,2005.0,500,1.0,1510
433,4,0.003214083146303892,51.0,2506.0,500,1.0,1510
434,5,0.0034762080758810043,54.0,3008.0,500,1.0,1510
435,6,0.003733375109732151,54.0,3509.0,500,1.0,1510
436,7,0.004010792355984449,54.0,4010.0,500,1.0,1510
437,8,0.004282375331968069,57.0,4512.0,500,1.0,1510
438,9,0.00453941710293293,57.0,5013.0,500,1.0,1510
439,10,0.0048001669347286224,57.0,5514.0,500,1.0,1510
