,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,4.254188388586044e-05,14.0,0.0,0.001,600
1,1,0.001523416955024004,14.0,2.0,0.001,600
2,2,0.0015427079051733017,14.0,4.0,0.001,600
3,3,0.0015711248852312565,14.0,5.0,0.001,600
4,4,0.0016012918204069138,14.0,7.0,0.001,600
5,5,0.0016158749349415302,14.0,8.0,0.001,600
6,6,0.0016372078098356724,15.0,10.0,0.001,600
7,7,0.001650082878768444,15.0,11.0,0.001,600
8,8,0.001662499736994505,15.0,12.0,0.001,600
9,9,0.0016752080991864204,15.0,13.0,0.001,600
10,10,0.0016879169270396233,15.0,14.0,0.001,600
11,11,0.001703999936580658,15.0,16.0,0.001,600
12,12,0.0017167921178042889,15.0,17.0,0.001,600
13,13,0.0017298748716711998,15.0,18.0,0.001,600
14,14,0.0017427499406039715,15.0,19.0,0.001,600
15,15,0.0017560827545821667,15.0,20.0,0.001,600
16,16,0.0017694579437375069,15.0,21.0,0.001,600
17,17,0.0017866669222712517,15.0,23.0,0.001,600
18,18,0.0018005827441811562,15.0,24.0,0.001,600
19,19,0.0018179579637944698,15.0,26.0,0.001,600
20,20,0.001832250040024519,15.0,27.0,0.001,600
21,21,0.0018464578315615654,15.0,28.0,0.001,600
22,22,0.0018643331713974476,15.0,30.0,0.001,600
23,23,0.0018829167820513248,15.0,32.0,0.001,600
24,24,0.0019015828147530556,15.0,34.0,0.001,600
25,25,0.0019205417484045029,15.0,36.0,0.001,600
26,26,0.0019359998404979706,15.0,37.0,0.001,600
27,27,0.0019548749551177025,15.0,39.0,0.001,600
28,28,0.0019740420393645763,15.0,41.0,0.001,600
29,29,0.001990125048905611,15.0,42.0,0.001,600
30,30,0.002011875156313181,16.0,44.0,0.001,600
31,31,0.002032166812568903,16.0,46.0,0.001,600
32,32,0.0020528328604996204,16.0,48.0,0.001,600
33,33,0.002069791778922081,16.0,49.0,0.001,600
34,34,0.002087125089019537,16.0,50.0,0.001,600
35,35,0.002104292158037424,16.0,51.0,0.001,600
36,36,0.0021214578300714493,16.0,52.0,0.001,600
37,37,0.0021425001323223114,16.0,54.0,0.001,600
38,38,0.0021602921187877655,16.0,55.0,0.001,600
39,39,0.002178249880671501,16.0,56.0,0.001,600
40,40,0.0021963748149573803,16.0,57.0,0.001,600
41,41,0.0022149579599499702,16.0,58.0,0.001,600
42,42,0.002233250066637993,16.0,59.0,0.001,600
43,43,0.0022521251812577248,16.0,60.0,0.001,600
44,44,0.002271041739732027,16.0,61.0,0.001,600
45,45,0.0022898749448359013,16.0,62.0,0.001,600
46,46,0.002309124916791916,16.0,63.0,0.001,600
47,47,0.0023285001516342163,16.0,64.0,0.001,600
48,48,0.0023478330112993717,16.0,65.0,0.001,600
49,49,0.0023676250129938126,16.0,66.0,0.001,600
50,50,0.0023874579928815365,16.0,67.0,0.001,600
51,51,0.0024075000546872616,16.0,68.0,0.001,600
52,52,0.002427833154797554,16.0,69.0,0.001,600
53,53,0.0024487078189849854,16.0,70.0,0.001,600
54,54,0.0024694171734154224,16.0,71.0,0.001,600
55,55,0.0024900827556848526,16.0,72.0,0.001,600
56,56,0.002510999795049429,16.0,73.0,0.001,600
57,57,0.0025322078727185726,16.0,74.0,0.001,600
58,58,0.0025537079200148582,16.0,75.0,0.001,600
59,59,0.002578707877546549,16.0,77.0,0.001,600
60,60,0.002600625157356262,16.0,78.0,0.001,600
61,61,0.0026263329200446606,16.0,80.0,0.001,600
62,62,0.0026489170268177986,16.0,81.0,0.001,600
63,63,0.002674957737326622,16.0,83.0,0.001,600
64,64,0.0027219578623771667,16.0,84.0,0.001,600
65,65,0.0027469168417155743,16.0,85.0,0.001,600
66,66,0.0027740830555558205,16.0,87.0,0.001,600
67,67,0.0027977079153060913,16.0,88.0,0.001,600
68,68,0.0028212079778313637,16.0,89.0,0.001,600
69,69,0.0028453748673200607,16.0,90.0,0.001,600
70,70,0.0028695417568087578,16.0,91.0,0.001,600
71,71,0.0028935419395565987,16.0,92.0,0.001,600
72,72,0.002917999867349863,16.0,93.0,0.001,600
73,73,0.0029425830580294132,16.0,94.0,0.001,600
74,74,0.0029675420373678207,16.0,95.0,0.001,600
75,75,0.002992374822497368,16.0,96.0,0.001,600
76,76,0.0030208327807486057,16.0,98.0,0.001,600
77,77,0.003050666768103838,16.0,99.0,0.001,600
78,78,0.0030761249363422394,16.0,100.0,0.001,600
79,79,0.003101792186498642,16.0,101.0,0.001,600
80,80,0.0031277500092983246,16.0,102.0,0.001,600
81,81,0.0031535420566797256,16.0,103.0,0.001,600
82,82,0.003179708030074835,16.0,104.0,0.001,600
83,83,0.003206042107194662,16.0,105.0,0.001,600
84,84,0.0032324581407010555,16.0,106.0,0.001,600
