,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
88,0,0.00015583261847496033,13.0,20.0,True,20,0.75,500
89,1,0.0036160419695079327,15.0,42.0,True,20,0.75,500
90,2,0.0053331670351326466,15.0,63.0,True,20,0.75,500
91,3,0.007114499807357788,15.0,84.0,True,20,0.75,500
92,4,0.008892166893929243,15.0,105.0,True,20,0.75,500
93,5,0.010607832577079535,15.0,126.0,True,20,0.75,500
94,6,0.012289749924093485,15.0,147.0,True,20,0.75,500
95,7,0.014058916829526424,15.0,168.0,True,20,0.75,500
96,8,0.01586658274754882,15.0,189.0,True,20,0.75,500
97,9,0.017557582817971706,15.0,210.0,True,20,0.75,500
98,10,0.019226749893277884,15.0,231.0,True,20,0.75,500
99,0,0.00015583261847496033,13.0,20.0,True,20,0.9,500
100,1,0.0036160419695079327,15.0,42.0,True,20,0.9,500
101,2,0.0053331670351326466,16.0,64.0,True,20,0.9,500
102,3,0.007114499807357788,16.0,85.0,True,20,0.9,500
103,4,0.008892166893929243,16.0,106.0,True,20,0.9,500
104,5,0.010607832577079535,16.0,127.0,True,20,0.9,500
105,6,0.012289749924093485,16.0,148.0,True,20,0.9,500
106,7,0.014058916829526424,16.0,169.0,True,20,0.9,500
107,8,0.01586658274754882,16.0,190.0,True,20,0.9,500
108,9,0.017557582817971706,16.0,211.0,True,20,0.9,500
109,10,0.019226749893277884,16.0,232.0,True,20,0.9,500
110,0,0.00015583261847496033,13.0,50.0,True,50,0.1,500
111,1,0.0036160419695079327,16.0,102.0,True,50,0.1,500
112,2,0.0053331670351326466,18.0,154.0,True,50,0.1,500
113,3,0.007114499807357788,20.0,206.0,True,50,0.1,500
114,4,0.008892166893929243,20.0,257.0,True,50,0.1,500
115,5,0.010607832577079535,20.0,308.0,True,50,0.1,500
116,6,0.012289749924093485,20.0,359.0,True,50,0.1,500
117,7,0.014058916829526424,20.0,410.0,True,50,0.1,500
118,8,0.01586658274754882,20.0,461.0,True,50,0.1,500
119,9,0.017557582817971706,20.0,512.0,True,50,0.1,500
120,10,0.019226749893277884,20.0,563.0,True,50,0.1,500
121,0,0.00015583261847496033,13.0,50.0,True,50,0.25,500
122,1,0.0036160419695079327,16.0,102.0,True,50,0.25,500
123,2,0.0053331670351326466,17.0,154.0,True,50,0.25,500
124,3,0.007114499807357788,20.0,206.0,True,50,0.25,500
125,4,0.008892166893929243,20.0,257.0,True,50,0.25,500
126,5,0.010607832577079535,20.0,308.0,True,50,0.25,500
127,6,0.012289749924093485,20.0,359.0,True,50,0.25,500
128,7,0.014058916829526424,20.0,410.0,True,50,0.25,500
129,8,0.01586658274754882,20.0,461.0,True,50,0.25,500
130,9,0.017557582817971706,20.0,512.0,True,50,0.25,500
131,10,0.019226749893277884,20.0,563.0,True,50,0.25,500
132,0,0.00015583261847496033,13.0,50.0,True,50,0.5,500
133,1,0.0036160419695079327,16.0,102.0,True,50,0.5,500
134,2,0.0053331670351326466,17.0,154.0,True,50,0.5,500
135,3,0.007114499807357788,18.0,206.0,True,50,0.5,500
136,4,0.008892166893929243,18.0,257.0,True,50,0.5,500
137,5,0.010607832577079535,19.0,309.0,True,50,0.5,500
138,6,0.012289749924093485,19.0,360.0,True,50,0.5,500
139,7,0.014058916829526424,19.0,411.0,True,50,0.5,500
140,8,0.01586658274754882,19.0,462.0,True,50,0.5,500
141,9,0.017557582817971706,19.0,513.0,True,50,0.5,500
142,10,0.019226749893277884,19.0,564.0,True,50,0.5,500
143,0,0.00015583261847496033,13.0,50.0,True,50,0.75,500
144,1,0.0036160419695079327,17.0,102.0,True,50,0.75,500
145,2,0.0053331670351326466,17.0,153.0,True,50,0.75,500
146,3,0.007114499807357788,18.0,205.0,True,50,0.75,500
147,4,0.008892166893929243,18.0,256.0,True,50,0.75,500
148,5,0.010607832577079535,18.0,307.0,True,50,0.75,500
149,6,0.012289749924093485,18.0,358.0,True,50,0.75,500
150,7,0.014058916829526424,18.0,409.0,True,50,0.75,500
151,8,0.01586658274754882,18.0,460.0,True,50,0.75,500
152,9,0.017557582817971706,18.0,511.0,True,50,0.75,500
153,10,0.019226749893277884,18.0,562.0,True,50,0.75,500
154,0,0.00015583261847496033,13.0,50.0,True,50,0.9,500
155,1,0.0036160419695079327,15.0,102.0,True,50,0.9,500
156,2,0.0053331670351326466,15.0,153.0,True,50,0.9,500
157,3,0.007114499807357788,15.0,204.0,True,50,0.9,500
158,4,0.008892166893929243,17.0,256.0,True,50,0.9,500
159,5,0.010607832577079535,17.0,307.0,True,50,0.9,500
160,6,0.012289749924093485,17.0,358.0,True,50,0.9,500
161,7,0.014058916829526424,17.0,409.0,True,50,0.9,500
162,8,0.01586658274754882,17.0,460.0,True,50,0.9,500
163,9,0.017557582817971706,17.0,511.0,True,50,0.9,500
164,10,0.019226749893277884,17.0,562.0,True,50,0.9,500
165,0,0.00015583261847496033,13.0,100.0,True,100,0.1,500
166,1,0.0036160419695079327,17.0,202.0,True,100,0.1,500
167,2,0.0053331670351326466,19.0,304.0,True,100,0.1,500
168,3,0.007114499807357788,20.0,406.0,True,100,0.1,500
169,4,0.008892166893929243,20.0,507.0,True,100,0.1,500
170,5,0.010607832577079535,20.0,608.0,True,100,0.1,500
171,6,0.012289749924093485,20.0,709.0,True,100,0.1,500
172,7,0.014058916829526424,20.0,810.0,True,100,0.1,500
173,8,0.01586658274754882,20.0,911.0,True,100,0.1,500
174,9,0.017557582817971706,20.0,1012.0,True,100,0.1,500
175,10,0.019226749893277884,20.0,1113.0,True,100,0.1,500
176,0,0.00015583261847496033,13.0,100.0,True,100,0.25,500
177,1,0.0036160419695079327,17.0,202.0,True,100,0.25,500
178,2,0.0053331670351326466,19.0,304.0,True,100,0.25,500
179,3,0.007114499807357788,20.0,406.0,True,100,0.25,500
180,4,0.008892166893929243,20.0,507.0,True,100,0.25,500
181,5,0.010607832577079535,20.0,608.0,True,100,0.25,500
182,6,0.012289749924093485,20.0,709.0,True,100,0.25,500
183,7,0.014058916829526424,20.0,810.0,True,100,0.25,500
184,8,0.01586658274754882,20.0,911.0,True,100,0.25,500
185,9,0.017557582817971706,20.0,1012.0,True,100,0.25,500
186,10,0.019226749893277884,20.0,1113.0,True,100,0.25,500
187,0,0.00015583261847496033,13.0,100.0,True,100,0.5,500
188,1,0.0036160419695079327,16.0,202.0,True,100,0.5,500
189,2,0.0053331670351326466,17.0,304.0,True,100,0.5,500
190,3,0.007114499807357788,19.0,406.0,True,100,0.5,500
191,4,0.008892166893929243,19.0,507.0,True,100,0.5,500
192,5,0.010607832577079535,19.0,608.0,True,100,0.5,500
193,6,0.012289749924093485,19.0,709.0,True,100,0.5,500
194,7,0.014058916829526424,19.0,810.0,True,100,0.5,500
195,8,0.01586658274754882,20.0,912.0,True,100,0.5,500
196,9,0.017557582817971706,20.0,1013.0,True,100,0.5,500
197,10,0.019226749893277884,20.0,1114.0,True,100,0.5,500
198,0,0.00015583261847496033,13.0,100.0,True,100,0.75,500
199,1,0.0036160419695079327,15.0,202.0,True,100,0.75,500
200,2,0.0053331670351326466,17.0,304.0,True,100,0.75,500
201,3,0.007114499807357788,17.0,405.0,True,100,0.75,500
202,4,0.008892166893929243,18.0,507.0,True,100,0.75,500
203,5,0.010607832577079535,18.0,608.0,True,100,0.75,500
204,6,0.012289749924093485,18.0,709.0,True,100,0.75,500
205,7,0.014058916829526424,18.0,810.0,True,100,0.75,500
206,8,0.01586658274754882,18.0,911.0,True,100,0.75,500
207,9,0.017557582817971706,19.0,1013.0,True,100,0.75,500
208,10,0.019226749893277884,19.0,1114.0,True,100,0.75,500
209,0,0.00015583261847496033,13.0,100.0,True,100,0.9,500
210,1,0.0036160419695079327,16.0,202.0,True,100,0.9,500
211,2,0.0053331670351326466,16.0,303.0,True,100,0.9,500
212,3,0.007114499807357788,17.0,405.0,True,100,0.9,500
213,4,0.008892166893929243,17.0,506.0,True,100,0.9,500
214,5,0.010607832577079535,17.0,607.0,True,100,0.9,500
215,6,0.012289749924093485,17.0,708.0,True,100,0.9,500
216,7,0.014058916829526424,17.0,809.0,True,100,0.9,500
217,8,0.01586658274754882,17.0,910.0,True,100,0.9,500
218,9,0.017557582817971706,17.0,1011.0,True,100,0.9,500
219,10,0.019226749893277884,17.0,1112.0,True,100,0.9,500
220,0,0.00015583261847496033,13.0,150.0,True,150,0.1,500
221,1,0.0036160419695079327,18.0,302.0,True,150,0.1,500
222,2,0.0053331670351326466,20.0,454.0,True,150,0.1,500
223,3,0.007114499807357788,20.0,605.0,True,150,0.1,500
224,4,0.008892166893929243,20.0,756.0,True,150,0.1,500
225,5,0.010607832577079535,20.0,907.0,True,150,0.1,500
226,6,0.012289749924093485,20.0,1058.0,True,150,0.1,500
227,7,0.014058916829526424,20.0,1209.0,True,150,0.1,500
228,8,0.01586658274754882,20.0,1360.0,True,150,0.1,500
229,9,0.017557582817971706,20.0,1511.0,True,150,0.1,500
230,10,0.019226749893277884,20.0,1662.0,True,150,0.1,500
231,0,0.00015583261847496033,13.0,150.0,True,150,0.25,500
232,1,0.0036160419695079327,17.0,302.0,True,150,0.25,500
233,2,0.0053331670351326466,19.0,454.0,True,150,0.25,500
234,3,0.007114499807357788,20.0,606.0,True,150,0.25,500
235,4,0.008892166893929243,20.0,757.0,True,150,0.25,500
236,5,0.010607832577079535,20.0,908.0,True,150,0.25,500
237,6,0.012289749924093485,20.0,1059.0,True,150,0.25,500
238,7,0.014058916829526424,20.0,1210.0,True,150,0.25,500
239,8,0.01586658274754882,20.0,1361.0,True,150,0.25,500
240,9,0.017557582817971706,20.0,1512.0,True,150,0.25,500
241,10,0.019226749893277884,20.0,1663.0,True,150,0.25,500
242,0,0.00015583261847496033,13.0,150.0,True,150,0.5,500
243,1,0.0036160419695079327,16.0,302.0,True,150,0.5,500
244,2,0.0053331670351326466,17.0,454.0,True,150,0.5,500
245,3,0.007114499807357788,17.0,605.0,True,150,0.5,500
246,4,0.008892166893929243,19.0,757.0,True,150,0.5,500
247,5,0.010607832577079535,19.0,908.0,True,150,0.5,500
248,6,0.012289749924093485,19.0,1059.0,True,150,0.5,500
249,7,0.014058916829526424,20.0,1211.0,True,150,0.5,500
250,8,0.01586658274754882,20.0,1362.0,True,150,0.5,500
251,9,0.017557582817971706,20.0,1513.0,True,150,0.5,500
252,10,0.019226749893277884,20.0,1664.0,True,150,0.5,500
253,0,0.00015583261847496033,13.0,150.0,True,150,0.75,500
254,1,0.0036160419695079327,18.0,302.0,True,150,0.75,500
255,2,0.0053331670351326466,18.0,453.0,True,150,0.75,500
256,3,0.007114499807357788,18.0,604.0,True,150,0.75,500
257,4,0.008892166893929243,18.0,755.0,True,150,0.75,500
258,5,0.010607832577079535,18.0,906.0,True,150,0.75,500
259,6,0.012289749924093485,18.0,1057.0,True,150,0.75,500
260,7,0.014058916829526424,18.0,1208.0,True,150,0.75,500
261,8,0.01586658274754882,19.0,1360.0,True,150,0.75,500
262,9,0.017557582817971706,19.0,1511.0,True,150,0.75,500
263,10,0.019226749893277884,19.0,1662.0,True,150,0.75,500
264,0,0.00015583261847496033,13.0,150.0,True,150,0.9,500
265,1,0.0036160419695079327,15.0,302.0,True,150,0.9,500
266,2,0.0053331670351326466,15.0,453.0,True,150,0.9,500
267,3,0.007114499807357788,15.0,604.0,True,150,0.9,500
268,4,0.008892166893929243,18.0,756.0,True,150,0.9,500
269,5,0.010607832577079535,18.0,907.0,True,150,0.9,500
270,6,0.012289749924093485,18.0,1058.0,True,150,0.9,500
271,7,0.014058916829526424,18.0,1209.0,True,150,0.9,500
272,8,0.01586658274754882,18.0,1360.0,True,150,0.9,500
273,9,0.017557582817971706,18.0,1511.0,True,150,0.9,500
274,10,0.019226749893277884,18.0,1662.0,True,150,0.9,500
275,0,0.00015583261847496033,13.0,200.0,True,200,0.1,500
276,1,0.0036160419695079327,18.0,402.0,True,200,0.1,500
277,2,0.0053331670351326466,19.0,604.0,True,200,0.1,500
278,3,0.007114499807357788,20.0,806.0,True,200,0.1,500
279,4,0.008892166893929243,20.0,1007.0,True,200,0.1,500
280,5,0.010607832577079535,20.0,1208.0,True,200,0.1,500
281,6,0.012289749924093485,20.0,1409.0,True,200,0.1,500
282,7,0.014058916829526424,20.0,1610.0,True,200,0.1,500
283,8,0.01586658274754882,20.0,1811.0,True,200,0.1,500
284,9,0.017557582817971706,20.0,2012.0,True,200,0.1,500
285,10,0.019226749893277884,20.0,2213.0,True,200,0.1,500
286,0,0.00015583261847496033,13.0,200.0,True,200,0.25,500
287,1,0.0036160419695079327,17.0,402.0,True,200,0.25,500
288,2,0.0053331670351326466,18.0,604.0,True,200,0.25,500
289,3,0.007114499807357788,19.0,806.0,True,200,0.25,500
290,4,0.008892166893929243,20.0,1008.0,True,200,0.25,500
291,5,0.010607832577079535,20.0,1209.0,True,200,0.25,500
292,6,0.012289749924093485,20.0,1410.0,True,200,0.25,500
293,7,0.014058916829526424,20.0,1611.0,True,200,0.25,500
294,8,0.01586658274754882,20.0,1812.0,True,200,0.25,500
295,9,0.017557582817971706,20.0,2013.0,True,200,0.25,500
296,10,0.019226749893277884,20.0,2214.0,True,200,0.25,500
297,0,0.00015583261847496033,13.0,200.0,True,200,0.5,500
298,1,0.0036160419695079327,17.0,402.0,True,200,0.5,500
299,2,0.0053331670351326466,18.0,604.0,True,200,0.5,500
300,3,0.007114499807357788,19.0,806.0,True,200,0.5,500
301,4,0.008892166893929243,19.0,1007.0,True,200,0.5,500
302,5,0.010607832577079535,20.0,1209.0,True,200,0.5,500
303,6,0.012289749924093485,20.0,1410.0,True,200,0.5,500
304,7,0.014058916829526424,20.0,1611.0,True,200,0.5,500
305,8,0.01586658274754882,20.0,1812.0,True,200,0.5,500
306,9,0.017557582817971706,20.0,2013.0,True,200,0.5,500
307,10,0.019226749893277884,20.0,2214.0,True,200,0.5,500
308,0,0.00015583261847496033,13.0,200.0,True,200,0.75,500
309,1,0.0036160419695079327,18.0,402.0,True,200,0.75,500
310,2,0.0053331670351326466,18.0,603.0,True,200,0.75,500
311,3,0.007114499807357788,18.0,804.0,True,200,0.75,500
312,4,0.008892166893929243,18.0,1005.0,True,200,0.75,500
313,5,0.010607832577079535,18.0,1206.0,True,200,0.75,500
314,6,0.012289749924093485,18.0,1407.0,True,200,0.75,500
315,7,0.014058916829526424,19.0,1609.0,True,200,0.75,500
316,8,0.01586658274754882,19.0,1810.0,True,200,0.75,500
317,9,0.017557582817971706,19.0,2011.0,True,200,0.75,500
318,10,0.019226749893277884,20.0,2213.0,True,200,0.75,500
319,0,0.00015583261847496033,13.0,200.0,True,200,0.9,500
320,1,0.0036160419695079327,16.0,402.0,True,200,0.9,500
321,2,0.0053331670351326466,16.0,603.0,True,200,0.9,500
322,3,0.007114499807357788,16.0,804.0,True,200,0.9,500
323,4,0.008892166893929243,16.0,1005.0,True,200,0.9,500
324,5,0.010607832577079535,17.0,1207.0,True,200,0.9,500
325,6,0.012289749924093485,17.0,1408.0,True,200,0.9,500
326,7,0.014058916829526424,17.0,1609.0,True,200,0.9,500
327,8,0.01586658274754882,17.0,1810.0,True,200,0.9,500
328,9,0.017557582817971706,17.0,2011.0,True,200,0.9,500
329,10,0.019226749893277884,17.0,2212.0,True,200,0.9,500
330,0,0.00015583261847496033,13.0,250.0,True,250,0.1,500
331,1,0.0036160419695079327,19.0,502.0,True,250,0.1,500
332,2,0.0053331670351326466,20.0,754.0,True,250,0.1,500
333,3,0.007114499807357788,20.0,1005.0,True,250,0.1,500
334,4,0.008892166893929243,20.0,1256.0,True,250,0.1,500
335,5,0.010607832577079535,20.0,1507.0,True,250,0.1,500
336,6,0.012289749924093485,20.0,1758.0,True,250,0.1,500
337,7,0.014058916829526424,20.0,2009.0,True,250,0.1,500
338,8,0.01586658274754882,20.0,2260.0,True,250,0.1,500
339,9,0.017557582817971706,20.0,2511.0,True,250,0.1,500
340,10,0.019226749893277884,20.0,2762.0,True,250,0.1,500
341,0,0.00015583261847496033,13.0,250.0,True,250,0.25,500
342,1,0.0036160419695079327,18.0,502.0,True,250,0.25,500
343,2,0.0053331670351326466,18.0,753.0,True,250,0.25,500
344,3,0.007114499807357788,19.0,1005.0,True,250,0.25,500
345,4,0.008892166893929243,20.0,1257.0,True,250,0.25,500
346,5,0.010607832577079535,20.0,1508.0,True,250,0.25,500
347,6,0.012289749924093485,20.0,1759.0,True,250,0.25,500
348,7,0.014058916829526424,20.0,2010.0,True,250,0.25,500
349,8,0.01586658274754882,20.0,2261.0,True,250,0.25,500
350,9,0.017557582817971706,20.0,2512.0,True,250,0.25,500
351,10,0.019226749893277884,20.0,2763.0,True,250,0.25,500
352,0,0.00015583261847496033,13.0,250.0,True,250,0.5,500
353,1,0.0036160419695079327,17.0,502.0,True,250,0.5,500
354,2,0.0053331670351326466,18.0,754.0,True,250,0.5,500
355,3,0.007114499807357788,19.0,1006.0,True,250,0.5,500
356,4,0.008892166893929243,19.0,1257.0,True,250,0.5,500
357,5,0.010607832577079535,19.0,1508.0,True,250,0.5,500
358,6,0.012289749924093485,19.0,1759.0,True,250,0.5,500
359,7,0.014058916829526424,20.0,2011.0,True,250,0.5,500
360,8,0.01586658274754882,20.0,2262.0,True,250,0.5,500
361,9,0.017557582817971706,20.0,2513.0,True,250,0.5,500
362,10,0.019226749893277884,20.0,2764.0,True,250,0.5,500
363,0,0.00015583261847496033,13.0,250.0,True,250,0.75,500
364,1,0.0036160419695079327,17.0,502.0,True,250,0.75,500
365,2,0.0053331670351326466,17.0,753.0,True,250,0.75,500
366,3,0.007114499807357788,17.0,1004.0,True,250,0.75,500
367,4,0.008892166893929243,17.0,1255.0,True,250,0.75,500
368,5,0.010607832577079535,17.0,1506.0,True,250,0.75,500
369,6,0.012289749924093485,17.0,1757.0,True,250,0.75,500
370,7,0.014058916829526424,18.0,2009.0,True,250,0.75,500
371,8,0.01586658274754882,19.0,2261.0,True,250,0.75,500
372,9,0.017557582817971706,19.0,2512.0,True,250,0.75,500
373,10,0.019226749893277884,20.0,2764.0,True,250,0.75,500
374,0,0.00015583261847496033,13.0,250.0,True,250,0.9,500
375,1,0.0036160419695079327,15.0,502.0,True,250,0.9,500
376,2,0.0053331670351326466,16.0,754.0,True,250,0.9,500
377,3,0.007114499807357788,16.0,1005.0,True,250,0.9,500
378,4,0.008892166893929243,16.0,1256.0,True,250,0.9,500
379,5,0.010607832577079535,16.0,1507.0,True,250,0.9,500
380,6,0.012289749924093485,16.0,1758.0,True,250,0.9,500
381,7,0.014058916829526424,16.0,2009.0,True,250,0.9,500
382,8,0.01586658274754882,17.0,2261.0,True,250,0.9,500
383,9,0.017557582817971706,17.0,2512.0,True,250,0.9,500
