,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
43,100,18.0,15251,0.20096037490293384,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",True,150,0.25,600
44,0,14.0,150,0.001302374992519617,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,150,0.5,600
45,100,18.0,15251,0.21027616690844297,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,150,0.5,600
46,0,14.0,150,0.0013131657615303993,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,150,0.75,600
47,100,18.0,15252,0.2130060000345111,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,150,0.75,600
48,0,14.0,150,0.0013042911887168884,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,150,0.9,600
49,100,18.0,15252,0.21436604112386703,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",True,150,0.9,600
50,0,14.0,200,0.0017346669919788837,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,200,0.1,600
51,100,18.0,20301,0.23390300013124943,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.1,600
52,0,14.0,200,0.0017315000295639038,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,200,0.25,600
53,100,18.0,20301,0.23587225005030632,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",True,200,0.25,600
54,0,14.0,200,0.0017227502539753914,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,200,0.5,600
55,100,18.0,20301,0.23261833330616355,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,200,0.5,600
56,0,14.0,200,0.0017135841771960258,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,200,0.75,600
57,100,18.0,20301,0.23957987502217293,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.75,600
58,0,14.0,200,0.0017205839976668358,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,200,0.9,600
59,100,18.0,20301,0.2396658342331648,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",True,200,0.9,600
60,0,14.0,250,0.0021281251683831215,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,250,0.1,600
61,100,18.0,25351,0.2641373332589865,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,250,0.1,600
62,0,14.0,250,0.002138999756425619,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,250,0.25,600
63,100,18.0,25351,0.25562358368188143,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",True,250,0.25,600
64,0,14.0,250,0.00212508300319314,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,250,0.5,600
65,100,18.0,25352,0.2670799163170159,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",True,250,0.5,600
66,0,14.0,250,0.0021250001154839993,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,250,0.75,600
67,100,18.0,25351,0.267364792060107,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",True,250,0.75,600
68,0,14.0,250,0.0021394998766481876,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,250,0.9,600
69,100,18.0,25351,0.2681419998407364,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",True,250,0.9,600
70,0,14.0,500,0.004183832556009293,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,500,0.1,600
71,100,18.0,50601,0.3943749996833503,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",True,500,0.1,600
72,0,14.0,500,0.0042107501067221165,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,500,0.25,600
73,100,18.0,50601,0.4064535000361502,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,500,0.25,600
74,0,14.0,500,0.004253874998539686,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,500,0.5,600
75,100,18.0,50601,0.4329634173773229,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",True,500,0.5,600
76,0,14.0,500,0.004237417131662369,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,500,0.75,600
77,100,18.0,50601,0.41621029237285256,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",True,500,0.75,600
78,0,14.0,500,0.004229624755680561,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,500,0.9,600
79,100,18.0,50602,0.4040246671065688,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",True,500,0.9,600
