,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
58,7,0.0017042919062078,10.0,66.0,25,500,4
59,8,0.001717583741992712,11.0,68.0,25,500,4
60,9,0.0017282087355852127,11.0,69.0,25,500,4
61,10,0.0017383340746164322,12.0,71.0,25,500,4
62,1,0.0016319998539984226,10.0,72.0,25,500,5
63,2,0.001645917072892189,10.0,73.0,25,500,5
64,3,0.001660624984651804,11.0,75.0,25,500,5
65,4,0.0016706250607967377,12.0,77.0,25,500,5
66,5,0.001680999994277954,12.0,78.0,25,500,5
67,6,0.0016944590024650097,12.0,79.0,25,500,5
68,7,0.0017042919062078,12.0,80.0,25,500,5
69,8,0.001717583741992712,12.0,81.0,25,500,5
70,9,0.0017282087355852127,13.0,83.0,25,500,5
71,10,0.0017383340746164322,13.0,84.0,25,500,5
72,1,0.0016319998539984226,11.0,86.0,25,500,6
73,2,0.001645917072892189,12.0,88.0,25,500,6
74,3,0.001660624984651804,12.0,89.0,25,500,6
75,4,0.0016706250607967377,13.0,91.0,25,500,6
76,5,0.001680999994277954,13.0,92.0,25,500,6
77,6,0.0016944590024650097,14.0,94.0,25,500,6
78,7,0.0017042919062078,14.0,95.0,25,500,6
79,8,0.001717583741992712,14.0,96.0,25,500,6
80,9,0.0017282087355852127,14.0,97.0,25,500,6
81,10,0.0017383340746164322,14.0,98.0,25,500,6
82,1,0.0016319998539984226,10.0,100.0,25,500,7
83,2,0.001645917072892189,11.0,102.0,25,500,7
84,3,0.001660624984651804,11.0,103.0,25,500,7
85,4,0.0016706250607967377,12.0,105.0,25,500,7
86,5,0.001680999994277954,12.0,106.0,25,500,7
87,6,0.0016944590024650097,12.0,107.0,25,500,7
88,7,0.0017042919062078,12.0,108.0,25,500,7
89,8,0.001717583741992712,12.0,109.0,25,500,7
90,9,0.0017282087355852127,12.0,110.0,25,500,7
91,10,0.0017383340746164322,12.0,111.0,25,500,7
92,1,0.0016319998539984226,13.0,112.0,25,500,8
93,2,0.001645917072892189,13.0,113.0,25,500,8
94,3,0.001660624984651804,14.0,115.0,25,500,8
95,4,0.0016706250607967377,14.0,116.0,25,500,8
96,5,0.001680999994277954,14.0,117.0,25,500,8
97,6,0.0016944590024650097,14.0,118.0,25,500,8
98,7,0.0017042919062078,15.0,120.0,25,500,8
99,8,0.001717583741992712,15.0,121.0,25,500,8
100,9,0.0017282087355852127,16.0,123.0,25,500,8
101,10,0.0017383340746164322,16.0,124.0,25,500,8
102,1,0.0016319998539984226,7.0,125.0,25,500,9
103,2,0.001645917072892189,8.0,127.0,25,500,9
104,3,0.001660624984651804,8.0,128.0,25,500,9
105,4,0.0016706250607967377,9.0,130.0,25,500,9
106,5,0.001680999994277954,10.0,132.0,25,500,9
107,6,0.0016944590024650097,11.0,134.0,25,500,9
108,7,0.0017042919062078,11.0,135.0,25,500,9
109,8,0.001717583741992712,12.0,137.0,25,500,9
110,9,0.0017282087355852127,13.0,139.0,25,500,9
111,10,0.0017383340746164322,13.0,140.0,25,500,9
112,1,0.0016319998539984226,10.0,141.0,25,500,10
113,2,0.001645917072892189,10.0,142.0,25,500,10
114,3,0.001660624984651804,10.0,143.0,25,500,10
115,4,0.0016706250607967377,10.0,144.0,25,500,10
116,5,0.001680999994277954,11.0,146.0,25,500,10
117,6,0.0016944590024650097,12.0,148.0,25,500,10
118,7,0.0017042919062078,12.0,149.0,25,500,10
119,8,0.001717583741992712,12.0,150.0,25,500,10
120,9,0.0017282087355852127,13.0,152.0,25,500,10
121,10,0.0017383340746164322,13.0,153.0,25,500,10
122,1,0.0016319998539984226,11.0,155.0,25,500,11
123,2,0.001645917072892189,12.0,157.0,25,500,11
124,3,0.001660624984651804,12.0,158.0,25,500,11
125,4,0.0016706250607967377,12.0,159.0,25,500,11
126,5,0.001680999994277954,13.0,161.0,25,500,11
127,6,0.0016944590024650097,14.0,163.0,25,500,11
128,7,0.0017042919062078,14.0,164.0,25,500,11
129,8,0.001717583741992712,15.0,166.0,25,500,11
130,9,0.0017282087355852127,15.0,167.0,25,500,11
131,10,0.0017383340746164322,15.0,168.0,25,500,11
132,1,0.0016319998539984226,11.0,169.0,25,500,12
133,2,0.001645917072892189,11.0,170.0,25,500,12
134,3,0.001660624984651804,12.0,172.0,25,500,12
135,4,0.0016706250607967377,13.0,174.0,25,500,12
136,5,0.001680999994277954,13.0,175.0,25,500,12
137,6,0.0016944590024650097,13.0,176.0,25,500,12
138,7,0.0017042919062078,13.0,177.0,25,500,12
139,8,0.001717583741992712,14.0,179.0,25,500,12
140,9,0.0017282087355852127,15.0,181.0,25,500,12
141,10,0.0017383340746164322,15.0,182.0,25,500,12
142,1,0.0016319998539984226,12.0,183.0,25,500,13
143,2,0.001645917072892189,13.0,185.0,25,500,13
144,3,0.001660624984651804,13.0,186.0,25,500,13
145,4,0.0016706250607967377,13.0,187.0,25,500,13
146,5,0.001680999994277954,13.0,188.0,25,500,13
147,6,0.0016944590024650097,13.0,189.0,25,500,13
148,7,0.0017042919062078,14.0,191.0,25,500,13
149,8,0.001717583741992712,14.0,192.0,25,500,13
150,9,0.0017282087355852127,15.0,194.0,25,500,13
151,10,0.0017383340746164322,16.0,196.0,25,500,13
152,1,0.0016319998539984226,10.0,197.0,25,500,14
153,2,0.001645917072892189,11.0,199.0,25,500,14
154,3,0.001660624984651804,12.0,201.0,25,500,14
155,4,0.0016706250607967377,12.0,202.0,25,500,14
156,5,0.001680999994277954,12.0,203.0,25,500,14
157,6,0.0016944590024650097,12.0,204.0,25,500,14
158,7,0.0017042919062078,12.0,205.0,25,500,14
159,8,0.001717583741992712,12.0,206.0,25,500,14
160,9,0.0017282087355852127,13.0,208.0,25,500,14
161,10,0.0017383340746164322,14.0,210.0,25,500,14
162,1,0.0016319998539984226,11.0,211.0,25,500,15
163,2,0.001645917072892189,11.0,212.0,25,500,15
164,3,0.001660624984651804,11.0,213.0,25,500,15
165,4,0.0016706250607967377,11.0,214.0,25,500,15
166,5,0.001680999994277954,11.0,215.0,25,500,15
167,6,0.0016944590024650097,11.0,216.0,25,500,15
168,7,0.0017042919062078,11.0,217.0,25,500,15
169,8,0.001717583741992712,11.0,218.0,25,500,15
170,9,0.0017282087355852127,11.0,219.0,25,500,15
171,10,0.0017383340746164322,11.0,220.0,25,500,15
172,1,0.0016319998539984226,12.0,222.0,25,500,16
173,2,0.001645917072892189,12.0,223.0,25,500,16
174,3,0.001660624984651804,13.0,225.0,25,500,16
175,4,0.0016706250607967377,13.0,226.0,25,500,16
176,5,0.001680999994277954,14.0,228.0,25,500,16
177,6,0.0016944590024650097,15.0,230.0,25,500,16
178,7,0.0017042919062078,15.0,231.0,25,500,16
179,8,0.001717583741992712,15.0,232.0,25,500,16
180,9,0.0017282087355852127,15.0,233.0,25,500,16
181,10,0.0017383340746164322,16.0,235.0,25,500,16
182,1,0.0016319998539984226,5.0,236.0,25,500,17
183,2,0.001645917072892189,6.0,238.0,25,500,17
184,3,0.001660624984651804,7.0,240.0,25,500,17
185,4,0.0016706250607967377,8.0,242.0,25,500,17
186,5,0.001680999994277954,9.0,244.0,25,500,17
187,6,0.0016944590024650097,9.0,245.0,25,500,17
188,7,0.0017042919062078,10.0,247.0,25,500,17
189,8,0.001717583741992712,10.0,248.0,25,500,17
190,9,0.0017282087355852127,10.0,249.0,25,500,17
191,10,0.0017383340746164322,11.0,251.0,25,500,17
192,1,0.0016319998539984226,12.0,252.0,25,500,18
193,2,0.001645917072892189,13.0,254.0,25,500,18
194,3,0.001660624984651804,13.0,255.0,25,500,18
195,4,0.0016706250607967377,14.0,257.0,25,500,18
196,5,0.001680999994277954,14.0,258.0,25,500,18
197,6,0.0016944590024650097,15.0,260.0,25,500,18
198,7,0.0017042919062078,15.0,261.0,25,500,18
199,8,0.001717583741992712,16.0,263.0,25,500,18
200,9,0.0017282087355852127,17.0,265.0,25,500,18
201,10,0.0017383340746164322,17.0,266.0,25,500,18
202,1,0.0016319998539984226,12.0,267.0,25,500,19
203,2,0.001645917072892189,12.0,268.0,25,500,19
204,3,0.001660624984651804,12.0,269.0,25,500,19
205,4,0.0016706250607967377,13.0,271.0,25,500,19
206,5,0.001680999994277954,13.0,272.0,25,500,19
207,6,0.0016944590024650097,13.0,273.0,25,500,19
208,7,0.0017042919062078,13.0,274.0,25,500,19
209,8,0.001717583741992712,13.0,275.0,25,500,19
210,9,0.0017282087355852127,13.0,276.0,25,500,19
211,10,0.0017383340746164322,13.0,277.0,25,500,19
212,1,0.0016319998539984226,14.0,278.0,25,500,20
213,2,0.001645917072892189,14.0,279.0,25,500,20
214,3,0.001660624984651804,14.0,280.0,25,500,20
215,4,0.0016706250607967377,14.0,281.0,25,500,20
216,5,0.001680999994277954,14.0,282.0,25,500,20
217,6,0.0016944590024650097,14.0,283.0,25,500,20
218,7,0.0017042919062078,14.0,284.0,25,500,20
219,8,0.001717583741992712,14.0,285.0,25,500,20
220,9,0.0017282087355852127,14.0,286.0,25,500,20
221,10,0.0017383340746164322,14.0,287.0,25,500,20
222,1,0.0016319998539984226,13.0,288.0,25,500,21
223,2,0.001645917072892189,14.0,290.0,25,500,21
224,3,0.001660624984651804,15.0,292.0,25,500,21
225,4,0.0016706250607967377,15.0,293.0,25,500,21
226,5,0.001680999994277954,15.0,294.0,25,500,21
227,6,0.0016944590024650097,15.0,295.0,25,500,21
228,7,0.0017042919062078,15.0,296.0,25,500,21
229,8,0.001717583741992712,15.0,297.0,25,500,21
230,9,0.0017282087355852127,15.0,298.0,25,500,21
231,10,0.0017383340746164322,16.0,300.0,25,500,21
232,1,0.0016319998539984226,11.0,302.0,25,500,22
233,2,0.001645917072892189,12.0,304.0,25,500,22
234,3,0.001660624984651804,12.0,305.0,25,500,22
235,4,0.0016706250607967377,12.0,306.0,25,500,22
236,5,0.001680999994277954,13.0,308.0,25,500,22
237,6,0.0016944590024650097,13.0,309.0,25,500,22
238,7,0.0017042919062078,13.0,310.0,25,500,22
239,8,0.001717583741992712,13.0,311.0,25,500,22
240,9,0.0017282087355852127,14.0,313.0,25,500,22
241,10,0.0017383340746164322,15.0,315.0,25,500,22
242,1,0.0016319998539984226,10.0,317.0,25,500,23
243,2,0.001645917072892189,11.0,319.0,25,500,23
244,3,0.001660624984651804,11.0,320.0,25,500,23
245,4,0.0016706250607967377,12.0,322.0,25,500,23
246,5,0.001680999994277954,12.0,323.0,25,500,23
247,6,0.0016944590024650097,13.0,325.0,25,500,23
248,7,0.0017042919062078,13.0,326.0,25,500,23
249,8,0.001717583741992712,14.0,328.0,25,500,23
250,9,0.0017282087355852127,14.0,329.0,25,500,23
251,10,0.0017383340746164322,14.0,330.0,25,500,23
252,1,0.0016319998539984226,9.0,332.0,25,500,24
253,2,0.001645917072892189,10.0,334.0,25,500,24
254,3,0.001660624984651804,10.0,335.0,25,500,24
255,4,0.0016706250607967377,11.0,337.0,25,500,24
256,5,0.001680999994277954,11.0,338.0,25,500,24
257,6,0.0016944590024650097,11.0,339.0,25,500,24
258,7,0.0017042919062078,11.0,340.0,25,500,24
259,8,0.001717583741992712,12.0,342.0,25,500,24
260,9,0.0017282087355852127,13.0,344.0,25,500,24
261,10,0.0017383340746164322,13.0,345.0,25,500,24
262,1,0.0016319998539984226,12.0,346.0,25,500,25
263,2,0.001645917072892189,12.0,347.0,25,500,25
264,3,0.001660624984651804,13.0,349.0,25,500,25
265,4,0.0016706250607967377,13.0,350.0,25,500,25
266,5,0.001680999994277954,14.0,352.0,25,500,25
267,6,0.0016944590024650097,14.0,353.0,25,500,25
268,7,0.0017042919062078,14.0,354.0,25,500,25
269,8,0.001717583741992712,15.0,356.0,25,500,25
270,9,0.0017282087355852127,15.0,357.0,25,500,25
271,10,0.0017383340746164322,15.0,358.0,25,500,25
272,0,7.279170677065849e-05,13.0,0.0,75,500,0
273,1,0.0016319998539984226,13.0,1.0,75,500,0
274,2,0.001645917072892189,13.0,2.0,75,500,0
275,3,0.001660624984651804,14.0,4.0,75,500,0
276,4,0.0016706250607967377,14.0,5.0,75,500,0
277,5,0.001680999994277954,14.0,6.0,75,500,0
278,6,0.0016944590024650097,15.0,8.0,75,500,0
279,7,0.0017042919062078,15.0,9.0,75,500,0
280,8,0.001717583741992712,16.0,11.0,75,500,0
281,9,0.0017282087355852127,16.0,12.0,75,500,0
282,10,0.0017383340746164322,16.0,13.0,75,500,0
283,1,0.0016319998539984226,10.0,15.0,75,500,1
284,2,0.001645917072892189,10.0,16.0,75,500,1
285,3,0.001660624984651804,10.0,17.0,75,500,1
286,4,0.0016706250607967377,10.0,18.0,75,500,1
287,5,0.001680999994277954,11.0,20.0,75,500,1
288,6,0.0016944590024650097,12.0,22.0,75,500,1
289,7,0.0017042919062078,13.0,24.0,75,500,1
290,8,0.001717583741992712,13.0,25.0,75,500,1
291,9,0.0017282087355852127,13.0,26.0,75,500,1
292,10,0.0017383340746164322,13.0,27.0,75,500,1
293,1,0.0016319998539984226,14.0,28.0,75,500,2
294,2,0.001645917072892189,15.0,30.0,75,500,2
295,3,0.001660624984651804,15.0,31.0,75,500,2
296,4,0.0016706250607967377,16.0,33.0,75,500,2
297,5,0.001680999994277954,17.0,35.0,75,500,2
298,6,0.0016944590024650097,17.0,36.0,75,500,2
299,7,0.0017042919062078,17.0,37.0,75,500,2
300,8,0.001717583741992712,17.0,38.0,75,500,2
301,9,0.0017282087355852127,17.0,39.0,75,500,2
302,10,0.0017383340746164322,18.0,41.0,75,500,2
303,1,0.0016319998539984226,13.0,42.0,75,500,3
304,2,0.001645917072892189,13.0,43.0,75,500,3
305,3,0.001660624984651804,13.0,44.0,75,500,3
306,4,0.0016706250607967377,13.0,45.0,75,500,3
307,5,0.001680999994277954,14.0,47.0,75,500,3
308,6,0.0016944590024650097,15.0,49.0,75,500,3
309,7,0.0017042919062078,15.0,50.0,75,500,3
310,8,0.001717583741992712,15.0,51.0,75,500,3
311,9,0.0017282087355852127,16.0,53.0,75,500,3
312,10,0.0017383340746164322,16.0,54.0,75,500,3
313,1,0.0016319998539984226,6.0,56.0,75,500,4
314,2,0.001645917072892189,7.0,58.0,75,500,4
315,3,0.001660624984651804,7.0,59.0,75,500,4
316,4,0.0016706250607967377,7.0,60.0,75,500,4
317,5,0.001680999994277954,8.0,62.0,75,500,4
318,6,0.0016944590024650097,9.0,64.0,75,500,4
319,7,0.0017042919062078,10.0,66.0,75,500,4
320,8,0.001717583741992712,11.0,68.0,75,500,4
321,9,0.0017282087355852127,11.0,69.0,75,500,4
322,10,0.0017383340746164322,12.0,71.0,75,500,4
323,1,0.0016319998539984226,10.0,72.0,75,500,5
324,2,0.001645917072892189,10.0,73.0,75,500,5
325,3,0.001660624984651804,11.0,75.0,75,500,5
326,4,0.0016706250607967377,12.0,77.0,75,500,5
327,5,0.001680999994277954,12.0,78.0,75,500,5
328,6,0.0016944590024650097,12.0,79.0,75,500,5
329,7,0.0017042919062078,12.0,80.0,75,500,5
330,8,0.001717583741992712,12.0,81.0,75,500,5
331,9,0.0017282087355852127,13.0,83.0,75,500,5
332,10,0.0017383340746164322,13.0,84.0,75,500,5
333,1,0.0016319998539984226,11.0,86.0,75,500,6
334,2,0.001645917072892189,12.0,88.0,75,500,6
335,3,0.001660624984651804,12.0,89.0,75,500,6
336,4,0.0016706250607967377,13.0,91.0,75,500,6
337,5,0.001680999994277954,13.0,92.0,75,500,6
338,6,0.0016944590024650097,14.0,94.0,75,500,6
339,7,0.0017042919062078,14.0,95.0,75,500,6
340,8,0.001717583741992712,14.0,96.0,75,500,6
341,9,0.0017282087355852127,14.0,97.0,75,500,6
342,10,0.0017383340746164322,14.0,98.0,75,500,6
343,1,0.0016319998539984226,10.0,100.0,75,500,7
344,2,0.001645917072892189,11.0,102.0,75,500,7
345,3,0.001660624984651804,11.0,103.0,75,500,7
346,4,0.0016706250607967377,12.0,105.0,75,500,7
347,5,0.001680999994277954,12.0,106.0,75,500,7
348,6,0.0016944590024650097,12.0,107.0,75,500,7
349,7,0.0017042919062078,12.0,108.0,75,500,7
350,8,0.001717583741992712,12.0,109.0,75,500,7
351,9,0.0017282087355852127,12.0,110.0,75,500,7
352,10,0.0017383340746164322,12.0,111.0,75,500,7
353,1,0.0016319998539984226,13.0,112.0,75,500,8
354,2,0.001645917072892189,13.0,113.0,75,500,8
355,3,0.001660624984651804,14.0,115.0,75,500,8
356,4,0.0016706250607967377,14.0,116.0,75,500,8
357,5,0.001680999994277954,14.0,117.0,75,500,8
358,6,0.0016944590024650097,14.0,118.0,75,500,8
359,7,0.0017042919062078,15.0,120.0,75,500,8
360,8,0.001717583741992712,15.0,121.0,75,500,8
361,9,0.0017282087355852127,16.0,123.0,75,500,8
362,10,0.0017383340746164322,16.0,124.0,75,500,8
363,1,0.0016319998539984226,7.0,125.0,75,500,9
364,2,0.001645917072892189,8.0,127.0,75,500,9
365,3,0.001660624984651804,8.0,128.0,75,500,9
366,4,0.0016706250607967377,9.0,130.0,75,500,9
367,5,0.001680999994277954,10.0,132.0,75,500,9
368,6,0.0016944590024650097,11.0,134.0,75,500,9
369,7,0.0017042919062078,11.0,135.0,75,500,9
370,8,0.001717583741992712,12.0,137.0,75,500,9
371,9,0.0017282087355852127,13.0,139.0,75,500,9
372,10,0.0017383340746164322,13.0,140.0,75,500,9
373,1,0.0016319998539984226,10.0,141.0,75,500,10
374,2,0.001645917072892189,10.0,142.0,75,500,10
375,3,0.001660624984651804,10.0,143.0,75,500,10
376,4,0.0016706250607967377,10.0,144.0,75,500,10
377,5,0.001680999994277954,11.0,146.0,75,500,10
378,6,0.0016944590024650097,12.0,148.0,75,500,10
379,7,0.0017042919062078,12.0,149.0,75,500,10
380,8,0.001717583741992712,12.0,150.0,75,500,10
381,9,0.0017282087355852127,13.0,152.0,75,500,10
382,10,0.0017383340746164322,13.0,153.0,75,500,10
383,1,0.0016319998539984226,11.0,155.0,75,500,11
384,2,0.001645917072892189,12.0,157.0,75,500,11
385,3,0.001660624984651804,12.0,158.0,75,500,11
386,4,0.0016706250607967377,12.0,159.0,75,500,11
387,5,0.001680999994277954,13.0,161.0,75,500,11
388,6,0.0016944590024650097,14.0,163.0,75,500,11
389,7,0.0017042919062078,14.0,164.0,75,500,11
390,8,0.001717583741992712,15.0,166.0,75,500,11
391,9,0.0017282087355852127,15.0,167.0,75,500,11
392,10,0.0017383340746164322,15.0,168.0,75,500,11
393,1,0.0016319998539984226,11.0,169.0,75,500,12
394,2,0.001645917072892189,11.0,170.0,75,500,12
395,3,0.001660624984651804,12.0,172.0,75,500,12
396,4,0.0016706250607967377,13.0,174.0,75,500,12
397,5,0.001680999994277954,13.0,175.0,75,500,12
398,6,0.0016944590024650097,13.0,176.0,75,500,12
399,7,0.0017042919062078,13.0,177.0,75,500,12
400,8,0.001717583741992712,14.0,179.0,75,500,12
401,9,0.0017282087355852127,15.0,181.0,75,500,12
402,10,0.0017383340746164322,15.0,182.0,75,500,12
403,1,0.0016319998539984226,12.0,183.0,75,500,13
404,2,0.001645917072892189,13.0,185.0,75,500,13
405,3,0.001660624984651804,13.0,186.0,75,500,13
406,4,0.0016706250607967377,13.0,187.0,75,500,13
407,5,0.001680999994277954,13.0,188.0,75,500,13
408,6,0.0016944590024650097,13.0,189.0,75,500,13
409,7,0.0017042919062078,14.0,191.0,75,500,13
410,8,0.001717583741992712,14.0,192.0,75,500,13
411,9,0.0017282087355852127,15.0,194.0,75,500,13
412,10,0.0017383340746164322,16.0,196.0,75,500,13
413,1,0.0016319998539984226,10.0,197.0,75,500,14
414,2,0.001645917072892189,11.0,199.0,75,500,14
415,3,0.001660624984651804,12.0,201.0,75,500,14
416,4,0.0016706250607967377,12.0,202.0,75,500,14
417,5,0.001680999994277954,12.0,203.0,75,500,14
418,6,0.0016944590024650097,12.0,204.0,75,500,14
419,7,0.0017042919062078,12.0,205.0,75,500,14
420,8,0.001717583741992712,12.0,206.0,75,500,14
421,9,0.0017282087355852127,13.0,208.0,75,500,14
422,10,0.0017383340746164322,14.0,210.0,75,500,14
423,1,0.0016319998539984226,11.0,211.0,75,500,15
424,2,0.001645917072892189,11.0,212.0,75,500,15
425,3,0.001660624984651804,11.0,213.0,75,500,15
426,4,0.0016706250607967377,11.0,214.0,75,500,15
427,5,0.001680999994277954,11.0,215.0,75,500,15
428,6,0.0016944590024650097,11.0,216.0,75,500,15
429,7,0.0017042919062078,11.0,217.0,75,500,15
430,8,0.001717583741992712,11.0,218.0,75,500,15
431,9,0.0017282087355852127,11.0,219.0,75,500,15
432,10,0.0017383340746164322,11.0,220.0,75,500,15
433,1,0.0016319998539984226,12.0,222.0,75,500,16
434,2,0.001645917072892189,12.0,223.0,75,500,16
435,3,0.001660624984651804,13.0,225.0,75,500,16
436,4,0.0016706250607967377,13.0,226.0,75,500,16
437,5,0.001680999994277954,14.0,228.0,75,500,16
438,6,0.0016944590024650097,15.0,230.0,75,500,16
439,7,0.0017042919062078,15.0,231.0,75,500,16
440,8,0.001717583741992712,15.0,232.0,75,500,16
441,9,0.0017282087355852127,15.0,233.0,75,500,16
442,10,0.0017383340746164322,16.0,235.0,75,500,16
443,1,0.0016319998539984226,5.0,236.0,75,500,17
444,2,0.001645917072892189,6.0,238.0,75,500,17
445,3,0.001660624984651804,7.0,240.0,75,500,17
446,4,0.0016706250607967377,8.0,242.0,75,500,17
447,5,0.001680999994277954,9.0,244.0,75,500,17
448,6,0.0016944590024650097,9.0,245.0,75,500,17
449,7,0.0017042919062078,10.0,247.0,75,500,17
450,8,0.001717583741992712,10.0,248.0,75,500,17
451,9,0.0017282087355852127,10.0,249.0,75,500,17
452,10,0.0017383340746164322,11.0,251.0,75,500,17
453,1,0.0016319998539984226,12.0,252.0,75,500,18
454,2,0.001645917072892189,13.0,254.0,75,500,18
455,3,0.001660624984651804,13.0,255.0,75,500,18
456,4,0.0016706250607967377,14.0,257.0,75,500,18
457,5,0.001680999994277954,14.0,258.0,75,500,18
458,6,0.0016944590024650097,15.0,260.0,75,500,18
459,7,0.0017042919062078,15.0,261.0,75,500,18
460,8,0.001717583741992712,16.0,263.0,75,500,18
461,9,0.0017282087355852127,17.0,265.0,75,500,18
462,10,0.0017383340746164322,17.0,266.0,75,500,18
463,1,0.0016319998539984226,12.0,267.0,75,500,19
464,2,0.001645917072892189,12.0,268.0,75,500,19
465,3,0.001660624984651804,12.0,269.0,75,500,19
466,4,0.0016706250607967377,13.0,271.0,75,500,19
467,5,0.001680999994277954,13.0,272.0,75,500,19
468,6,0.0016944590024650097,13.0,273.0,75,500,19
469,7,0.0017042919062078,13.0,274.0,75,500,19
470,8,0.001717583741992712,13.0,275.0,75,500,19
471,9,0.0017282087355852127,13.0,276.0,75,500,19
472,10,0.0017383340746164322,13.0,277.0,75,500,19
473,1,0.0016319998539984226,14.0,278.0,75,500,20
474,2,0.001645917072892189,14.0,279.0,75,500,20
475,3,0.001660624984651804,14.0,280.0,75,500,20
476,4,0.0016706250607967377,14.0,281.0,75,500,20
477,5,0.001680999994277954,14.0,282.0,75,500,20
478,6,0.0016944590024650097,14.0,283.0,75,500,20
479,7,0.0017042919062078,14.0,284.0,75,500,20
480,8,0.001717583741992712,14.0,285.0,75,500,20
481,9,0.0017282087355852127,14.0,286.0,75,500,20
482,10,0.0017383340746164322,14.0,287.0,75,500,20
483,1,0.0016319998539984226,13.0,288.0,75,500,21
484,2,0.001645917072892189,14.0,290.0,75,500,21
485,3,0.001660624984651804,15.0,292.0,75,500,21
486,4,0.0016706250607967377,15.0,293.0,75,500,21
487,5,0.001680999994277954,15.0,294.0,75,500,21
488,6,0.0016944590024650097,15.0,295.0,75,500,21
489,7,0.0017042919062078,15.0,296.0,75,500,21
490,8,0.001717583741992712,15.0,297.0,75,500,21
491,9,0.0017282087355852127,15.0,298.0,75,500,21
492,10,0.0017383340746164322,16.0,300.0,75,500,21
493,1,0.0016319998539984226,11.0,302.0,75,500,22
494,2,0.001645917072892189,12.0,304.0,75,500,22
495,3,0.001660624984651804,12.0,305.0,75,500,22
496,4,0.0016706250607967377,12.0,306.0,75,500,22
497,5,0.001680999994277954,13.0,308.0,75,500,22
498,6,0.0016944590024650097,13.0,309.0,75,500,22
499,7,0.0017042919062078,13.0,310.0,75,500,22
500,8,0.001717583741992712,13.0,311.0,75,500,22
501,9,0.0017282087355852127,14.0,313.0,75,500,22
502,10,0.0017383340746164322,15.0,315.0,75,500,22
503,1,0.0016319998539984226,10.0,317.0,75,500,23
504,2,0.001645917072892189,11.0,319.0,75,500,23
505,3,0.001660624984651804,11.0,320.0,75,500,23
