,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
30,0,242.0,199,0.04633737541735172,"[1, 1, 1, 1, 2, 0, 2, 0, 1, 4, 1, 4, 0, 0, 4, 1, 0, 3, 3, 2, 2, 1, 1, 2, 3]",25,100,14
31,10,322.0,215,0.04866550024598837,"[3, 3, 1, 3, 2, 0, 2, 0, 1, 4, 1, 4, 0, 0, 4, 1, 0, 3, 3, 2, 3, 1, 3, 4, 3]",25,100,14
32,0,316.0,215,0.05056191701442003,"[3, 3, 3, 0, 4, 0, 3, 4, 0, 4, 0, 4, 1, 0, 0, 3, 2, 2, 4, 4, 2, 1, 2, 0, 1]",25,100,15
33,10,360.0,228,0.05296641727909446,"[3, 3, 3, 0, 4, 0, 3, 4, 0, 4, 0, 4, 1, 3, 1, 3, 2, 4, 4, 4, 2, 1, 2, 0, 1]",25,100,15
34,0,381.0,228,0.05500941723585129,"[3, 3, 2, 2, 1, 2, 1, 2, 4, 4, 1, 2, 1, 2, 1, 1, 0, 4, 2, 2, 3, 3, 4, 2, 2]",25,100,16
35,10,425.0,243,0.05753004224970937,"[3, 3, 2, 2, 1, 2, 1, 2, 4, 4, 2, 2, 1, 2, 1, 3, 2, 4, 2, 2, 4, 3, 4, 4, 2]",25,100,16
36,0,322.0,243,0.05963412532582879,"[1, 2, 4, 0, 0, 2, 1, 4, 0, 0, 4, 0, 0, 2, 3, 4, 2, 4, 2, 0, 2, 4, 1, 4, 0]",25,100,17
37,10,373.0,256,0.06219729222357273,"[1, 2, 4, 0, 0, 3, 1, 4, 4, 0, 4, 0, 0, 2, 3, 4, 2, 4, 2, 0, 2, 4, 1, 4, 1]",25,100,17
38,0,378.0,256,0.06431512534618378,"[1, 3, 4, 4, 3, 0, 4, 3, 1, 4, 2, 4, 0, 2, 2, 4, 2, 4, 3, 1, 0, 4, 1, 1, 0]",25,100,18
39,10,464.0,274,0.06695670913904905,"[1, 3, 4, 4, 3, 0, 4, 4, 3, 4, 4, 4, 2, 2, 3, 4, 2, 4, 3, 4, 2, 4, 1, 1, 0]",25,100,18
40,0,376.0,274,0.06911683408543468,"[4, 4, 4, 0, 2, 0, 0, 3, 2, 4, 2, 0, 3, 2, 2, 3, 1, 4, 0, 0, 3, 2, 4, 1, 2]",25,100,19
41,10,457.0,291,0.07185791712254286,"[4, 4, 4, 1, 2, 0, 0, 3, 2, 4, 2, 3, 3, 4, 4, 3, 1, 4, 0, 3, 4, 4, 4, 1, 2]",25,100,19
42,0,377.0,291,0.07403033412992954,"[4, 3, 3, 1, 3, 0, 4, 2, 1, 3, 2, 4, 4, 0, 4, 3, 0, 2, 4, 1, 0, 3, 3, 0, 1]",25,100,20
