,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
52,0,14.0,200,0.001732999924570322,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",200,0.2,600
53,100,18.0,20301,0.4650547499768436,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",200,0.2,600
54,0,14.0,200,0.0017258748412132263,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",200,0.5,600
55,100,18.0,20301,0.4847265840508044,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",200,0.5,600
56,0,14.0,200,0.00171195762231946,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",200,0.75,600
57,100,18.0,20301,0.49845012463629246,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",200,0.75,600
58,0,14.0,200,0.0017269998788833618,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",200,1.0,600
59,100,18.0,20301,0.5066416249610484,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",200,1.0,600
60,0,14.0,250,0.0021287081763148308,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",250,0.1,600
61,100,18.0,25351,0.5787248332053423,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",250,0.1,600
62,0,14.0,250,0.002136874943971634,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",250,0.2,600
63,100,18.0,25351,0.5871212501078844,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",250,0.2,600
64,0,14.0,250,0.0021307910792529583,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",250,0.5,600
65,100,18.0,25351,0.6097313747741282,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",250,0.5,600
66,0,14.0,250,0.0021414998918771744,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",250,0.75,600
67,100,18.0,25351,0.6251105000264943,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",250,0.75,600
68,0,14.0,250,0.0021332083269953728,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",250,1.0,600
69,100,18.0,25351,0.6443200004287064,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",250,1.0,600
70,0,14.0,500,0.004225749988108873,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",500,0.1,600
71,100,18.0,50601,1.2459328747354448,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",500,0.1,600
72,0,14.0,500,0.004202874843031168,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",500,0.2,600
73,100,18.0,50601,1.2566012497991323,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",500,0.2,600
74,0,14.0,500,0.004192875232547522,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",500,0.5,600
75,100,18.0,50601,1.3064934168942273,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",500,0.5,600
76,0,14.0,500,0.004178666044026613,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",500,0.75,600
77,100,18.0,50601,1.3387186657637358,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",500,0.75,600
78,0,14.0,500,0.004161040764302015,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",500,1.0,600
79,100,18.0,50601,1.3679662910290062,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",500,1.0,600
